Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	1.081712	0.900000	1.201902
2.000000	0.897029	0.600000	1.495049
3.000000	1.609376	1.200000	1.341147
4.000000	1.187244	1.100000	1.079313
5.000000	0.712347	0.500000	1.424693
6.000000	0.685963	0.400000	1.714909
7.000000	0.554047	0.400000	1.385119
8.000000	0.979468	0.600000	1.632447
9.000000	0.582387	0.500000	1.164773
10.000000	2.211138	1.800000	1.228410
11.000000	0.763369	0.600000	1.272282
12.000000	1.079246	0.700000	1.541780
13.000000	1.210861	0.800000	1.513577
14.000000	0.710723	0.500000	1.421446
15.000000	1.418782	1.100000	1.289802
16.000000	0.761938	0.500000	1.523877
17.000000	0.949796	0.700000	1.356851
18.000000	0.738730	0.700000	1.055328
19.000000	0.501281	0.800000	0.626601
20.000000	1.345544	1.000000	1.345544
21.000000	1.134478	0.800000	1.418098
22.000000	0.738730	0.500000	1.477460
23.000000	0.474898	0.300000	1.582993
24.000000	1.187244	1.200000	0.989370
25.000000	0.685963	0.800000	0.857454
26.000000	0.500607	0.400000	1.251518
27.000000	0.632346	0.400000	1.580865
28.000000	0.790432	0.400000	1.976081
29.000000	0.711389	0.400000	1.778473
30.000000	0.948956	0.600000	1.581594
31.000000	0.527198	0.600000	0.878663
32.000000	0.790797	0.400000	1.976992
33.000000	1.291635	1.200000	1.076362
34.000000	2.715069	2.100000	1.292890
35.000000	0.790797	0.500000	1.581594
36.000000	0.948956	0.700000	1.355652
37.000000	2.504190	1.700000	1.473053
38.000000	1.976992	1.700000	1.162937
39.000000	1.054396	0.800000	1.317995
40.000000	0.315285	0.500000	0.630570
41.000000	2.240591	1.700000	1.317995
42.000000	1.818833	1.100000	1.653484
43.000000	1.897913	1.500000	1.265275
44.000000	1.607954	1.100000	1.461776
45.000000	0.896237	0.800000	1.120296
46.000000	1.028036	0.800000	1.285045
47.000000	1.660674	1.200000	1.383895
48.000000	1.212555	1.100000	1.102323
49.000000	1.792473	1.300000	1.378825
50.000000	3.294987	2.000000	1.647494
51.000000	0.973954	0.600000	1.623256
52.000000	1.026600	0.900000	1.140666
53.000000	1.637232	1.200000	1.364360
54.000000	0.818616	0.800000	1.023270
55.000000	1.003465	0.600000	1.672441
56.000000	1.766113	1.300000	1.358549
57.000000	0.922596	0.400000	2.306491
58.000000	1.449794	1.000000	1.449794
59.000000	2.003352	1.300000	1.541040
60.000000	1.265275	0.700000	1.807536
61.000000	1.186195	0.700000	1.694565
62.000000	0.764437	0.500000	1.528874
63.000000	1.924273	1.700000	1.131925
64.000000	1.424693	1.000000	1.424693
65.000000	1.582993	1.400000	1.130709
66.000000	1.134478	0.600000	1.890797
67.000000	0.817880	0.600000	1.363133
68.000000	0.554047	0.600000	0.923412
69.000000	1.582993	0.800000	1.978741
70.000000	1.053910	0.900000	1.171011
71.000000	0.605998	0.600000	1.009997
72.000000	0.922171	0.600000	1.536952
73.000000	1.789969	1.300000	1.376899
74.000000	1.868938	1.400000	1.334956
75.000000	1.237184	0.900000	1.374649
76.000000	1.105569	0.900000	1.228410
77.000000	1.053910	1.000000	1.053910
78.000000	1.422778	1.100000	1.293435
79.000000	1.317387	0.900000	1.463764
80.000000	3.374067	3.700000	0.911910
81.000000	1.660674	1.300000	1.277441
82.000000	0.738077	0.600000	1.230129
83.000000	1.528874	1.200000	1.274062
84.000000	1.291635	0.800000	1.614544
85.000000	1.528874	1.300000	1.176057
86.000000	1.607954	1.300000	1.236888
87.000000	1.370715	1.100000	1.246104
88.000000	1.238915	1.000000	1.238915
89.000000	0.817157	0.600000	1.361928
90.000000	2.029712	1.400000	1.449794
91.000000	1.238915	0.700000	1.769879
92.000000	1.028036	0.800000	1.285045
93.000000	1.080756	0.800000	1.350945
94.000000	0.843517	0.600000	1.405861
95.000000	0.448118	0.500000	0.896237
96.000000	0.553558	0.500000	1.107116
97.000000	0.792209	0.500000	1.584418
98.000000	0.792209	0.500000	1.584418
99.000000	0.998402	0.700000	1.426288
100.000000	0.844263	1.000000	0.844263
101.000000	2.453639	2.000000	1.226819
102.000000	1.134478	1.000000	1.134478
103.000000	1.319161	1.100000	1.199237
104.000000	1.371927	1.100000	1.247206
105.000000	1.319161	1.300000	1.014739
106.000000	0.817880	0.700000	1.168399
107.000000	0.712347	0.500000	1.424693
108.000000	0.842338	0.400000	2.105846
109.000000	0.894984	0.700000	1.278549
110.000000	0.552784	0.500000	1.105569
111.000000	1.000277	0.500000	2.000553
112.000000	1.478790	1.100000	1.344355
113.000000	0.977058	0.700000	1.395797
114.000000	1.241127	0.600000	2.068546
115.000000	2.218185	2.000000	1.109093
116.000000	0.871430	0.600000	1.452383
117.000000	1.214720	0.800000	1.518401
118.000000	1.637232	1.200000	1.364360
119.000000	1.690046	1.200000	1.408372
120.000000	0.792209	0.500000	1.584418
121.000000	1.188314	0.700000	1.697591
122.000000	1.786614	1.600000	1.116634
123.000000	1.313687	0.900000	1.459652
124.000000	0.945854	0.700000	1.351221
125.000000	0.551748	0.500000	1.103497
126.000000	0.761938	0.900000	0.846598
127.000000	2.138964	1.900000	1.125771
128.000000	1.558011	1.100000	1.416374
129.000000	1.109093	0.900000	1.232325
130.000000	1.505197	1.100000	1.368361
131.000000	1.188314	1.600000	0.742696
132.000000	1.135500	0.800000	1.419374
133.000000	1.161907	0.600000	1.936511
134.000000	0.975316	0.700000	1.393309
135.000000	1.634314	1.200000	1.361928
136.000000	1.344355	0.800000	1.680443
137.000000	1.028036	0.700000	1.468623
138.000000	0.632638	0.300000	2.108792
139.000000	1.054396	0.600000	1.757327
140.000000	1.159836	0.600000	1.933059
141.000000	1.107116	0.600000	1.845193
142.000000	1.871553	1.000000	1.871553
143.000000	1.212555	1.100000	1.102323
144.000000	2.135152	1.400000	1.525108
145.000000	1.317995	0.900000	1.464439
146.000000	0.685357	0.700000	0.979082
147.000000	0.553558	0.500000	1.107116
148.000000	0.922596	0.400000	2.306491
149.000000	0.764085	0.500000	1.528169
150.000000	1.475474	0.900000	1.639416
151.000000	0.764085	0.600000	1.273475
152.000000	0.922171	0.500000	1.844342
153.000000	1.106605	0.800000	1.383257
154.000000	2.371297	1.800000	1.317387
155.000000	1.244190	0.900000	1.382433
156.000000	1.376550	1.100000	1.251409
157.000000	0.767691	0.400000	1.919229
158.000000	1.270662	1.500000	0.847108
159.000000	2.081472	1.600000	1.300920
160.000000	1.817995	1.200000	1.514996
161.000000	1.554517	1.000000	1.554517
162.000000	1.628972	1.600000	1.018107
163.000000	1.550150	1.200000	1.291792
164.000000	1.550150	0.900000	1.722389
165.000000	0.683117	0.600000	1.138528
166.000000	0.709391	0.600000	1.182318
167.000000	0.761938	0.500000	1.523877
168.000000	2.688710	2.200000	1.222141
169.000000	1.423434	1.000000	1.423434
170.000000	2.266951	1.400000	1.619251
171.000000	1.080756	0.800000	1.350945
172.000000	1.502514	0.800000	1.878143
173.000000	1.344355	0.800000	1.680443
174.000000	1.607954	1.000000	1.607954
175.000000	0.896237	0.700000	1.280338
176.000000	1.579384	1.200000	1.316153
177.000000	1.368800	1.000000	1.368800
178.000000	1.182318	0.800000	1.477898
179.000000	0.814486	0.900000	0.904984
180.000000	2.594268	2.000000	1.297134
181.000000	0.151221	0.100000	1.512211
182.000000	1.694216	1.500000	1.129477
183.000000	1.579384	1.100000	1.435804
184.000000	0.816015	0.800000	1.020019
185.000000	1.138301	0.700000	1.626144
186.000000	1.058885	0.700000	1.512693
187.000000	1.475474	1.200000	1.229562
188.000000	1.001214	0.700000	1.430306
189.000000	0.764085	0.500000	1.528169
190.000000	0.816780	0.700000	1.166829
