Index	Distance[?m]	Time[s]	Velocity[?m/s]
1.000000	1.236343	0.900000	1.373714
2.000000	0.868070	0.400000	2.170176
3.000000	1.552004	1.300000	1.193850
4.000000	2.183328	1.400000	1.559520
5.000000	2.472685	2.000000	1.236343
6.000000	1.630920	0.700000	2.329886
7.000000	0.868070	0.600000	1.446784
8.000000	1.078512	0.600000	1.797519
9.000000	1.311750	1.100000	1.192500
10.000000	0.918225	0.600000	1.530375
11.000000	1.023165	0.700000	1.461664
12.000000	0.839520	0.700000	1.199314
13.000000	1.783980	1.400000	1.274271
14.000000	0.891990	0.700000	1.274271
15.000000	1.772589	1.700000	1.042699
16.000000	1.693219	1.300000	1.302476
17.000000	1.666763	1.200000	1.388969
18.000000	1.375741	1.000000	1.375741
19.000000	1.349284	1.000000	1.349284
20.000000	0.873066	0.800000	1.091333
21.000000	1.719676	0.800000	2.149595
22.000000	1.409117	0.900000	1.679444
23.000000	2.566285	1.900000	1.350677
24.000000	1.322828	1.100000	1.202571
25.000000	2.683198	2.400000	1.117999
26.000000	1.210070	1.100000	1.100063
27.000000	1.841410	1.100000	1.674009
28.000000	0.789176	0.700000	1.127394
29.000000	1.315293	0.700000	1.878990
30.000000	0.815482	0.800000	1.019352
31.000000	0.920705	1.300000	0.708235
32.000000	1.473128	1.100000	1.339208
33.000000	2.104469	1.500000	1.402979
34.000000	1.406328	1.000000	1.406328
35.000000	1.034845	0.500000	2.069690
36.000000	1.379793	1.400000	0.985566
37.000000	1.534480	1.100000	1.394982
38.000000	1.534480	1.200000	1.278733
39.000000	0.873066	0.900000	0.970074
40.000000	1.164088	0.700000	1.662983
41.000000	1.164088	0.800000	1.455110
42.000000	1.272055	0.800000	1.590069
43.000000	1.537067	1.300000	1.182359
44.000000	1.192552	0.800000	1.490690
45.000000	1.775577	1.400000	1.268269
46.000000	2.040589	1.500000	1.360393
47.000000	1.961085	1.300000	1.508527
48.000000	0.901039	0.600000	1.501732
49.000000	1.113048	0.800000	1.391311
50.000000	1.999246	1.600000	1.249528
51.000000	3.209315	2.200000	1.458780
52.000000	2.104469	1.900000	1.107615
53.000000	1.657269	1.000000	1.657269
54.000000	2.051857	1.500000	1.367905
55.000000	1.473128	1.100000	1.339208
56.000000	0.920705	0.700000	1.315293
57.000000	1.552046	1.100000	1.410951
58.000000	0.815482	0.600000	1.359136
59.000000	1.473128	0.900000	1.636809
60.000000	1.131152	0.600000	1.885253
61.000000	0.815482	0.600000	1.359136
62.000000	0.657647	0.600000	1.096078
63.000000	1.154340	0.900000	1.282600
64.000000	1.269914	0.700000	1.814164
65.000000	1.031806	1.000000	1.031806
66.000000	1.111175	1.200000	0.925979
67.000000	0.476218	0.400000	1.190545
68.000000	1.216228	1.000000	1.216228
69.000000	0.951831	0.600000	1.586385
70.000000	2.544795	1.900000	1.339366
71.000000	1.888920	1.500000	1.259280
72.000000	0.996930	0.700000	1.424186
73.000000	1.592069	1.400000	1.137192
74.000000	1.140983	0.900000	1.267759
75.000000	1.910483	1.800000	1.061379
76.000000	1.008310	0.500000	2.016621
77.000000	2.494241	1.900000	1.312759
78.000000	0.689897	0.600000	1.149828
79.000000	0.955241	0.800000	1.194052
80.000000	0.769500	0.600000	1.282500
81.000000	1.061379	0.800000	1.326724
82.000000	1.485931	1.300000	1.143024
83.000000	0.769500	0.500000	1.539000
84.000000	0.689897	0.900000	0.766552
85.000000	1.446822	1.300000	1.112940
86.000000	1.210070	0.900000	1.344522
87.000000	1.394211	1.100000	1.267464
88.000000	0.789176	0.800000	0.986470
89.000000	3.392148	2.800000	1.211481
90.000000	0.954042	0.700000	1.362916
91.000000	0.874538	0.700000	1.249340
92.000000	1.771463	1.600000	1.107164
93.000000	1.057590	0.900000	1.175100
94.000000	1.692144	1.300000	1.301649
95.000000	1.692144	0.900000	1.880160
96.000000	1.269108	0.800000	1.586385
97.000000	0.925391	0.700000	1.321987
98.000000	1.507065	1.100000	1.370060
99.000000	0.978271	0.700000	1.397529
100.000000	1.216228	0.900000	1.351365
101.000000	2.432457	2.200000	1.105662
102.000000	2.406017	1.900000	1.266325
103.000000	0.925391	0.800000	1.156739
104.000000	2.247378	1.900000	1.182831
105.000000	1.374867	1.200000	1.145722
106.000000	1.004710	0.500000	2.009421
107.000000	1.110469	1.000000	1.110469
108.000000	1.321987	0.700000	1.888553
109.000000	1.771463	1.600000	1.107164
110.000000	1.236343	0.900000	1.373714
111.000000	1.078512	0.700000	1.540731
112.000000	0.657629	0.400000	1.644073
113.000000	1.946582	1.500000	1.297721
114.000000	1.367868	0.800000	1.709835
115.000000	1.525699	1.200000	1.271416
116.000000	0.894375	0.500000	1.788751
117.000000	1.052206	0.800000	1.315258
118.000000	2.275263	1.800000	1.264035
119.000000	0.952436	0.700000	1.360623
120.000000	1.190545	0.900000	1.322828
121.000000	1.078512	0.800000	1.348139
122.000000	1.183732	0.800000	1.479665
123.000000	0.526103	0.500000	1.052206
124.000000	1.736141	1.300000	1.335493
125.000000	0.999596	0.700000	1.427994
126.000000	1.815056	1.300000	1.396197
127.000000	0.736545	0.500000	1.473089
128.000000	1.131122	1.000000	1.131122
129.000000	1.665704	1.500000	1.110469
130.000000	1.295548	0.900000	1.439497
131.000000	1.110469	1.100000	1.009518
132.000000	1.189789	0.900000	1.321987
133.000000	1.937017	1.500000	1.291345
134.000000	1.167517	0.900000	1.297241
135.000000	1.326724	1.300000	1.020557
136.000000	1.698207	1.300000	1.306313
137.000000	1.087914	1.000000	1.087914
138.000000	1.671672	1.400000	1.194052
139.000000	1.192552	1.100000	1.084138
140.000000	1.749076	1.100000	1.590069
141.000000	1.007044	0.600000	1.678406
142.000000	1.272055	0.600000	2.120092
143.000000	2.332102	1.800000	1.295612
144.000000	1.247121	0.800000	1.558901
145.000000	2.494241	2.200000	1.133746
146.000000	0.689897	0.700000	0.985566
147.000000	2.262304	2.100000	1.077288
148.000000	3.025174	2.800000	1.080419
149.000000	1.104846	0.800000	1.381058
150.000000	1.210070	0.800000	1.512587
151.000000	0.789176	0.700000	1.127394
152.000000	0.841788	0.700000	1.202554
153.000000	0.894399	0.800000	1.117999
154.000000	1.442925	1.100000	1.311750
155.000000	1.836450	1.600000	1.147781
156.000000	0.550935	0.600000	0.918225
157.000000	1.828580	1.500000	1.219053
158.000000	1.166051	1.100000	1.060046
159.000000	1.272055	1.000000	1.272055
160.000000	2.464607	2.000000	1.232304
161.000000	1.442925	1.200000	1.202437
162.000000	2.203740	2.000000	1.101870
163.000000	1.154340	1.000000	1.154340
164.000000	1.288953	1.300000	0.991502
165.000000	1.578310	1.200000	1.315258
166.000000	0.762850	0.400000	1.907124
167.000000	0.999596	0.700000	1.427994
168.000000	1.052206	0.900000	1.169118
169.000000	1.236343	1.200000	1.030285
170.000000	1.341563	0.900000	1.490626
171.000000	1.446784	1.000000	1.446784
172.000000	1.104817	0.700000	1.578310
173.000000	0.841765	0.500000	1.683530
174.000000	0.841765	0.700000	1.202522
175.000000	2.702205	2.300000	1.174872
176.000000	2.511776	2.200000	1.141716
177.000000	1.084030	1.300000	0.833869
178.000000	0.793192	0.600000	1.321987
179.000000	1.321987	1.200000	1.101656
180.000000	1.559945	1.200000	1.299954
181.000000	1.533505	1.100000	1.394096
182.000000	1.772589	1.400000	1.266135
183.000000	1.217001	1.000000	1.217001
184.000000	2.275263	1.600000	1.422040
185.000000	0.873066	1.000000	0.873066
186.000000	1.640306	1.300000	1.261774
187.000000	1.719676	1.300000	1.322828
188.000000	1.154340	0.900000	1.282600
189.000000	1.180575	0.800000	1.475719
190.000000	1.888920	1.600000	1.180575
191.000000	2.247378	2.000000	1.123689
192.000000	1.004710	0.800000	1.255888
193.000000	1.031150	0.900000	1.145722
194.000000	0.555235	0.500000	1.110469
195.000000	1.510566	1.700000	0.888568
196.000000	2.173095	1.600000	1.358184
197.000000	1.086547	0.900000	1.207275
198.000000	1.298557	1.200000	1.082130
199.000000	1.457563	1.100000	1.325058
200.000000	1.946634	1.500000	1.297756
