Index	Distance[?m]	Time[s]	Velocity[?m/s]
139.000000	1.568392	2.400000	0.653497
140.000000	0.791345	0.800000	0.989181
141.000000	0.789341	0.700000	1.127629
142.000000	0.529062	0.800000	0.661328
143.000000	0.448681	0.600000	0.747802
144.000000	0.870969	0.600000	1.451615
145.000000	1.372436	1.800000	0.762464
146.000000	0.967175	0.900000	1.074639
147.000000	1.045594	0.900000	1.161772
148.000000	0.836476	0.900000	0.929417
149.000000	0.633076	0.400000	1.582690
150.000000	0.394670	0.400000	0.986676
151.000000	0.368359	0.600000	0.613932
152.000000	0.763029	1.000000	0.763029
153.000000	0.578850	0.500000	1.157699
154.000000	0.529062	2.100000	0.251934
155.000000	0.052906	1.100000	0.048097
156.000000	0.026453	1.700000	0.015561
157.000000	0.079359	1.400000	0.056685
158.000000	0.185172	2.300000	0.080509
159.000000	0.105812	4.000000	0.026453
160.000000	1.454922	1.500000	0.969948
161.000000	0.317437	0.600000	0.529062
162.000000	0.026453	0.900000	0.029392
163.000000	0.079359	1.000000	0.079359
164.000000	0.581969	0.700000	0.831384
165.000000	0.290984	0.900000	0.323316
166.000000	0.555516	1.000000	0.555516
167.000000	0.343891	0.600000	0.573151
168.000000	1.058125	1.000000	1.058125
169.000000	0.661328	1.200000	0.551107
170.000000	0.026453	1.000000	0.026453
171.000000	0.714234	0.500000	1.428468
172.000000	1.005219	1.000000	1.005219
173.000000	0.555516	1.000000	0.555516
174.000000	0.476156	0.300000	1.587187
175.000000	0.631472	0.600000	1.052454
176.000000	0.736718	0.600000	1.227863
177.000000	0.394670	0.800000	0.493338
178.000000	0.631472	0.800000	0.789341
179.000000	0.552538	0.400000	1.381346
180.000000	0.342048	1.000000	0.342048
181.000000	0.000000	1.000000	0.000000
182.000000	0.078934	1.000000	0.078934
183.000000	0.820047	1.100000	0.745497
184.000000	0.555516	0.900000	0.617239
185.000000	0.185172	0.900000	0.205746
186.000000	0.608422	0.900000	0.676024
187.000000	0.555516	0.700000	0.793594
188.000000	1.269750	1.500000	0.846500
189.000000	1.421262	2.000000	0.710631
190.000000	1.763417	1.500000	1.175612
191.000000	0.104559	0.800000	0.130699
192.000000	0.000000	0.600000	0.000000
193.000000	0.052280	2.000000	0.026140
194.000000	0.132266	1.000000	0.132266
195.000000	0.369502	1.600000	0.230939
196.000000	0.791790	0.900000	0.879767
197.000000	0.527860	0.700000	0.754086
198.000000	0.657992	0.900000	0.731102
199.000000	0.710631	1.300000	0.546639
200.000000	0.502609	0.700000	0.718013
