Index	Distance[?m]	Time[s]	Velocity[?m/s]
139.000000	0.926621	1.000000	0.926621
140.000000	0.820721	0.900000	0.911913
141.000000	0.476548	0.700000	0.680783
142.000000	0.529498	0.700000	0.756425
143.000000	0.317699	0.500000	0.635397
144.000000	0.315713	2.500000	0.126285
145.000000	0.815591	1.100000	0.741446
146.000000	0.684044	2.100000	0.325735
147.000000	0.605116	0.700000	0.864451
148.000000	0.736663	1.100000	0.669693
149.000000	0.762972	1.000000	0.762972
150.000000	0.846146	1.000000	0.846146
151.000000	1.031241	1.500000	0.687494
152.000000	0.687494	0.500000	1.374987
153.000000	0.925472	1.200000	0.771227
154.000000	1.374987	1.300000	1.057683
155.000000	1.454314	1.500000	0.969542
156.000000	0.634610	0.800000	0.793262
157.000000	0.793262	0.600000	1.322103
158.000000	1.275453	1.300000	0.981118
159.000000	1.142593	1.100000	1.038721
160.000000	0.744014	0.400000	1.860035
161.000000	1.408313	2.100000	0.670625
162.000000	1.009734	1.600000	0.631083
163.000000	0.504867	0.600000	0.841445
164.000000	1.009734	1.000000	1.009734
165.000000	0.690870	0.700000	0.986958
166.000000	1.328597	1.100000	1.207815
167.000000	0.899189	2.100000	0.428185
168.000000	0.872742	0.800000	1.090927
169.000000	1.057869	1.400000	0.755621
170.000000	0.686624	0.700000	0.980892
171.000000	0.792259	0.400000	1.980647
172.000000	0.977119	1.000000	0.977119
173.000000	1.029936	0.400000	2.574841
174.000000	1.003528	1.000000	1.003528
175.000000	1.190701	1.500000	0.793801
176.000000	1.137781	1.800000	0.632101
177.000000	0.608581	0.600000	1.014301
178.000000	0.423360	0.700000	0.604800
179.000000	0.582120	0.800000	0.727651
180.000000	1.262850	1.600000	0.789281
181.000000	1.394397	2.200000	0.633817
182.000000	0.605116	0.500000	1.210231
183.000000	0.736663	0.600000	1.227771
184.000000	0.499878	0.400000	1.249696
185.000000	1.116021	1.600000	0.697513
186.000000	0.876874	1.100000	0.797158
187.000000	1.753748	2.600000	0.674518
188.000000	0.899030	1.300000	0.691562
189.000000	0.819704	1.000000	0.819704
190.000000	1.348545	1.400000	0.963247
191.000000	0.820721	2.100000	0.390820
192.000000	0.820721	1.100000	0.746110
193.000000	0.555973	0.900000	0.617747
194.000000	0.476548	0.600000	0.794247
195.000000	0.767772	0.900000	0.853080
196.000000	1.058995	1.100000	0.962723
197.000000	0.714822	0.900000	0.794247
198.000000	1.006046	0.700000	1.437208
199.000000	0.529498	1.000000	0.529498
200.000000	0.868210	1.400000	0.620150
201.000000	0.789281	0.900000	0.876979
202.000000	0.578806	0.700000	0.826866
